Time,PID,Tickets,Pass,Stride,Runtime
3051,16,32,3994,1,1
3051,17,8,3997,2,1
3051,18,2,4058,32,1
3051,19,8,3999,2,1
3051,20,8,4000,2,1
3224,1,8,4,2,2
3224,2,8,1272,2,636
3224,5,1,3327,1024,1
3224,4,8,6,2,3
3224,6,2,1792,32,15
3224,7,4,1765,4,120
3224,8,8,1762,2,239
3224,9,16,1761,1,477
3224,10,32,1761,1,476
3224,11,32,1761,1,475
3224,12,32,1761,1,474
3224,13,32,1761,1,473
3224,14,32,1761,1,472
3224,15,32,3993,1,1
3224,16,32,3994,1,1
3224,17,8,3997,2,1
3224,18,2,4058,32,1
3224,19,8,3999,2,1
3224,20,8,4000,2,1
3388,1,8,4,2,2
3388,2,8,1272,2,636
3388,5,1,3327,1024,1
3388,4,8,6,2,3
3388,6,2,1792,32,15
3388,7,4,1789,4,126
3388,8,8,1786,2,251
3388,9,16,1785,1,501
3388,10,32,1785,1,500
3388,11,32,1785,1,499
3388,12,32,1785,1,498
3388,13,32,1786,1,498
3388,14,32,1786,1,497
3388,15,32,3993,1,1
3388,16,32,3994,1,1
3388,17,8,3997,2,1
3388,18,2,4058,32,1
3388,19,8,3999,2,1
3388,20,8,4000,2,1
3559,1,8,4,2,2
3559,2,8,1272,2,636
3559,5,1,3327,1024,1
3559,4,8,6,2,3
3559,6,2,1824,32,16
3559,7,4,1813,4,132
3559,8,8,1812,2,264
3559,9,16,1810,1,526
3559,10,32,1810,1,525
3559,11,32,1810,1,524
3559,12,32,1811,1,524
3559,13,32,1811,1,523
3559,14,32,1811,1,522
3559,15,32,3993,1,1
3559,16,32,3994,1,1
3559,17,8,3997,2,1
3559,18,2,4058,32,1
3559,19,8,3999,2,1
3559,20,8,4000,2,1
3730,1,8,4,2,2
3730,2,8,1272,2,636
3730,5,1,3327,1024,1
3730,4,8,6,2,3
3730,6,2,1856,32,17
3730,7,4,1837,4,138
3730,8,8,1836,2,276
3730,9,16,1835,1,551
3730,10,32,1836,1,551
3730,11,32,1836,1,550
3730,12,32,1836,1,549
3730,13,32,1836,1,548
3730,14,32,1836,1,547
3730,15,32,3993,1,1
3730,16,32,3994,1,1
3730,17,8,3997,2,1
3730,18,2,4058,32,1
3730,19,8,3999,2,1
3730,20,8,4000,2,1
3901,1,8,4,2,2
3901,2,8,1272,2,636
3901,5,1,3327,1024,1
3901,4,8,6,2,3
3901,6,2,1888,32,18
3901,7,4,1861,4,144
3901,8,8,1862,2,289
3901,9,16,1861,1,577
3901,10,32,1861,1,576
3901,11,32,1861,1,575
3901,12,32,1861,1,574
3901,13,32,1861,1,573
3901,14,32,1861,1,572
3901,15,32,3993,1,1
3901,16,32,3994,1,1
3901,17,8,3997,2,1
3901,18,2,4058,32,1
3901,19,8,3999,2,1
3901,20,8,4000,2,1
4065,1,8,4,2,2
4065,2,8,1272,2,636
4065,5,1,3327,1024,1
4065,4,8,6,2,3
4065,6,2,1888,32,18
4065,7,4,1889,4,151
4065,8,8,1886,2,301
4065,9,16,1885,1,601
4065,10,32,1885,1,600
4065,11,32,1885,1,599
4065,12,32,1885,1,598
4065,13,32,1885,1,597
4065,14,32,1886,1,597
4065,15,32,3993,1,1
4065,16,32,3994,1,1
4065,17,8,3997,2,1
4065,18,2,4058,32,1
4065,19,8,3999,2,1
4065,20,8,4000,2,1
4236,1,8,4,2,2
4236,2,8,1272,2,636
4236,5,1,3327,1024,1
4236,4,8,6,2,3
4236,6,2,1920,32,19
4236,7,4,1913,4,157
4236,8,8,1912,2,314
4236,9,16,1910,1,626
4236,10,32,1910,1,625
4236,11,32,1910,1,624
4236,12,32,1910,1,623
4236,13,32,1911,1,623
4236,14,32,1911,1,622
4236,15,32,3993,1,1
4236,16,32,3994,1,1
4236,17,8,3997,2,1
4236,18,2,4058,32,1
4236,19,8,3999,2,1
4236,20,8,4000,2,1
4407,1,8,4,2,2
4407,2,8,1272,2,636
4407,5,1,3327,1024,1
4407,4,8,6,2,3
4407,6,2,1952,32,20
4407,7,4,1937,4,163
4407,8,8,1936,2,326
4407,9,16,1935,1,651
4407,10,32,1935,1,650
4407,11,32,1936,1,650
4407,12,32,1936,1,649
4407,13,32,1936,1,648
4407,14,32,1936,1,647
4407,15,32,3993,1,1
4407,16,32,3994,1,1
4407,17,8,3997,2,1
4407,18,2,4058,32,1
4407,19,8,3999,2,1
4407,20,8,4000,2,1
4578,1,8,4,2,2
4578,2,8,1272,2,636
4578,5,1,3327,1024,1
4578,4,8,6,2,3
4578,6,2,1984,32,21
4578,7,4,1961,4,169
4578,8,8,1962,2,339
4578,9,16,1960,1,676
4578,10,32,1961,1,676
4578,11,32,1961,1,675
4578,12,32,1961,1,674
4578,13,32,1961,1,673
4578,14,32,1961,1,672
4578,15,32,3993,1,1
4578,16,32,3994,1,1
4578,17,8,3997,2,1
4578,18,2,4058,32,1
4578,19,8,3999,2,1
4578,20,8,4000,2,1
4742,1,8,4,2,2
4742,2,8,1272,2,636
4742,5,1,3327,1024,1
4742,4,8,6,2,3
4742,6,2,2016,32,22
4742,7,4,1985,4,175
4742,8,8,1986,2,351
4742,9,16,1985,1,701
4742,10,32,1985,1,700
4742,11,32,1985,1,699
4742,12,32,1985,1,698
4742,13,32,1985,1,697
4742,14,32,1985,1,696
4742,15,32,3993,1,1
4742,16,32,3994,1,1
4742,17,8,3997,2,1
4742,18,2,4058,32,1
4742,19,8,3999,2,1
4742,20,8,4000,2,1
4913,1,8,4,2,2
4913,2,8,1272,2,636
4913,5,1,3327,1024,1
4913,4,8,6,2,3
4913,6,2,2016,32,22
4913,7,4,2013,4,182
4913,8,8,2012,2,364
4913,9,16,2010,1,726
4913,10,32,2010,1,725
4913,11,32,2010,1,724
4913,12,32,2010,1,723
4913,13,32,2010,1,722
4913,14,32,2011,1,722
4913,15,32,3993,1,1
4913,16,32,3994,1,1
4913,17,8,3997,2,1
4913,18,2,4058,32,1
4913,19,8,3999,2,1
4913,20,8,4000,2,1
5084,1,8,4,2,2
5084,2,8,1272,2,636
5084,5,1,3327,1024,1
5084,4,8,6,2,3
5084,6,2,2048,32,23
5084,7,4,2037,4,188
5084,8,8,2036,2,376
5084,9,16,2035,1,751
5084,10,32,2035,1,750
5084,11,32,2035,1,749
5084,12,32,2036,1,749
5084,13,32,2036,1,748
5084,14,32,2036,1,747
5084,15,32,3993,1,1
5084,16,32,3994,1,1
5084,17,8,3997,2,1
5084,18,2,4058,32,1
5084,19,8,3999,2,1
5084,20,8,4000,2,1
5253,1,8,4,2,2
5253,2,8,1272,2,636
5253,5,1,3327,1024,1
5253,4,8,6,2,3
5253,6,2,2080,32,24
5253,7,4,2061,4,194
5253,8,8,2062,2,389
5253,9,16,2060,1,776
5253,10,32,2060,1,775
5253,11,32,2060,1,774
5253,12,32,2060,1,773
5253,13,32,2061,1,773
5253,14,32,2061,1,772
5253,15,32,3993,1,1
5253,16,32,3994,1,1
5253,17,8,3997,2,1
5253,18,2,4058,32,1
5253,19,8,3999,2,1
5253,20,8,4000,2,1
5417,1,8,4,2,2
5417,2,8,1272,2,636
5417,5,1,3327,1024,1
5417,4,8,6,2,3
5417,6,2,2112,32,25
5417,7,4,2085,4,200
5417,8,8,2086,2,401
5417,9,16,2084,1,800
